,#peaks_0.05,#peaks_0.1,freq 0,freq 1,freq 2,freq 3,height 0,height 1,height 2,height 3,width 0,width 1,width 2,width 3,prominence 0,prominence 1,prominence 2,prominence 3,second harmonics,#peaks_0.05,#peaks_0.1,freq 0,freq 1,freq 2,freq 3,height 0,height 1,height 2,height 3,width 0,width 1,width 2,width 3,prominence 0,prominence 1,prominence 2,prominence 3,second harmonics,target
0,47,37,16.333333333333336,14.583333333333336,16.500000000000004,14.083333333333336,0.009279576272970843,0.008939810335829091,0.008834403613694933,0.008347036840125924,5.326312070456197,1.0647534745182554,0.9813519890002169,1.2292428649045632,0.0085685517739093,0.006659198542945381,0.0030457349014206825,0.006241014894364485,0,25,8,12.04227082821332,12.779552715654953,11.141148521340213,16.957483411157533,5.300600587905183,2.204390546784085,2.162598254929785,2.090350942251839,1.955502747298567,3.7298784380505765,2.908898144020668,1.3648342622884968,5.243226683488387,2.1436042324028683,1.4586290402198423,1.786838746228423,0,1.0
1,46,30,12.833333333333336,12.000000000000002,11.083333333333336,12.666666666666668,0.0143271404974182,0.012430251086507128,0.0111117351764069,0.010166457006290607,1.3345299723144706,2.196597049615292,1.1867961759069203,0.9968468718880104,0.013815972931740835,0.011466079819336346,0.009563359054490848,0.009144253767402511,0,52,32,9.338903907594002,12.04227082821332,11.059228311624477,10.48578684361432,2.8738395617068524,2.8228206326637326,2.2700376570935634,2.2365760175237765,5.120579569630067,1.921957516698825,1.0945282172857276,4.0531603674418335,2.795024613857646,2.6464167312232596,1.8733936961337014,1.6627943483872483,0,1.0
2,39,26,15.500000000000002,17.000000000000004,14.583333333333336,16.500000000000004,0.00994529946311272,0.009912475675549952,0.009245411232884191,0.009044746041314332,2.8969519062470965,1.2280056964053188,1.3799487953039886,1.4915329087232863,0.009681462206022808,0.008402708558116097,0.008812443707282031,0.006466728910572253,0,35,18,12.04227082821332,9.830425165888425,10.076185795035633,13.352994183665107,3.9298641415494613,2.8001415507146334,2.068655377249708,1.9001981734875275,2.3018457966316532,2.1447840278647448,0.9395233164915737,2.3150410247414186,3.8468191929192,2.3744722524337902,1.1513171280011445,1.6443402786831807,0,1.0
3,46,26,17.000000000000004,16.166666666666668,15.500000000000002,16.500000000000004,0.02019065289070544,0.01743463059693285,0.017392675155617227,0.015741642844018633,2.0953635652751075,1.793379697661237,1.4612687575859695,1.1327493144568734,0.019617930468832583,0.013007345439635564,0.013488233259613057,0.006459397909351964,0,46,23,12.04227082821332,9.830425165888425,10.48578684361432,10.240026214467107,2.8780011109173524,2.4868288635716067,2.246315497113065,2.202084392547792,2.5997452508019308,2.4156573156262198,1.347069422003429,1.3992799376564165,2.804974131328532,2.277239332394535,1.4859355975577646,0.8611871923598478,0,1.0
4,4,2,8.487333736396613,16.851662636033858,1.7220677146311971,1.3530532043530834,0.013457954214034572,0.008602031557996893,0.004335051996338551,0.003908995091952649,2.1108226980972233,1.3476465812964022,6.265875888006978,1.5783944724791503,0.013258153185023613,0.00854048995572677,0.00410913777186428,0.0011285875803491636,1,11,2,8.464328899637243,16.928657799274486,8.101571946795648,8.82708585247884,10.37479499471734,3.315860376988892,2.1781172751355866,2.164460697574163,2.4509464090492514,2.342131826752535,0.7634576450829798,0.8384269466588705,10.318862213055349,3.2702781908488974,0.7858582571353085,1.1365385084828017,1,1.0
5,3,2,8.487333736396613,16.851662636033858,1.3530532043530834,1.1070435308343407,0.02134569929008156,0.015374258139166675,0.0033155164021075423,0.003050948582048516,2.086682664513347,1.318819310752957,4.498887463966729,0.8249235656956913,0.021230726661600575,0.015316471430165323,0.003152263978829433,0.0012466648765175092,1,11,2,8.464328899637243,16.928657799274486,8.101571946795648,8.82708585247884,9.461273620973886,3.385808359272762,1.9637738764601764,1.9503197227785993,2.4502969632682152,2.3691851825500976,0.776503403371521,0.8588749442805721,9.364240083330106,3.34877688835153,0.7514084034258577,1.0765377857278975,1,1.0
6,5,4,8.487333736396613,16.851662636033858,5.0431983071342215,1.7220677146311971,0.011131585595692505,0.009203181160115459,0.0029331230899661306,0.002225457659406083,2.1378503216592435,1.2971583983128028,1.2129223204227486,1.1565415491714415,0.011107580961432426,0.00911313026520668,0.0028789911617883414,0.002117546044686381,1,10,2,8.464328899637243,16.928657799274486,8.82708585247884,8.101571946795648,8.283742661422476,3.562781554394768,1.7643532890559197,1.6913285621289331,2.4886259844712555,2.503357710062147,0.870344525983441,0.7463281038303933,8.233087907766697,3.544764136288452,1.078912057880546,0.5190980553717444,1,1.0
7,5,5,16.851662636033858,8.487333736396613,1.3530532043530834,5.0431983071342215,0.014974355977029497,0.0146890167869177,0.0044241672094129155,0.003084121676360759,1.3221225593692054,2.0588782395938097,1.2257879403384297,1.1143833863352555,0.014949916601679774,0.014620271432930135,0.0042740830465450574,0.002870199873965633,1,12,2,8.464328899637243,16.928657799274486,8.101571946795648,8.82708585247884,10.061105714210328,3.975445030971376,2.171929572527833,1.980686416317972,2.47745086320829,2.42166005161738,0.7594260491266454,0.8719295829832987,10.022570947107114,3.970497299019236,0.7217592835458253,1.1107873007675892,1,1.0
8,3,3,8.487333736396613,16.851662636033858,12.669498186215234,4.305169286577993,0.017387551531665622,0.008337420787613672,0.002357714477172121,0.0011280431025250824,2.0355354323813515,1.313904356379652,1.0732967440513477,2.113594577340919,0.01731105180584917,0.008264414846439338,0.002270100523780715,0.0009851734813189107,1,12,2,8.464328899637243,16.928657799274486,8.101571946795648,8.82708585247884,10.101135715279106,3.772985005659042,2.1699960976402353,2.0345537705060037,2.4795655214860517,2.382755090867704,0.7740184952971134,0.8704677321410941,10.063779305719647,3.755489861190094,0.770464437566682,1.1883444239598888,1,1.0
9,8,3,11.940370370370374,6.0281481481481505,0.8114814814814816,1.2751851851851854,0.008117617303565212,0.00212239964361221,0.0020486652381826406,0.001727360392677123,1.410866395701433,1.5296623132262397,3.1159964905659887,1.7912519907814541,0.008114441777541349,0.002069098202644447,0.0019558128043032437,0.0008257370025644591,1,9,1,11.851851851851851,7.407407407407407,10.370370370370368,13.333333333333336,6.916544633037597,2.1178897984638767,2.042650511070083,1.638137478551415,2.690967631706002,2.586576305784952,3.66588055325262,3.486886568384051,6.837914083977403,1.9651908054312353,1.7254564480381807,1.4831259504167762,0,1.0
